sample_id,formal_rmse,gt_peak_abs,selected_rmse,delta_selected_minus_formal
vehicle_instability_allraw__zx__2025_09_27_18_00_08__000066065__pre2_label2_old_main,0.10542255640029907,0.5452409982681274,0.21373100578784943,0.10830844938755035
vehicle_instability_allraw__zx__2025_09_27_18_00_08__000119290__pre2_label2_old_main,0.4154035747051239,0.14608433842658997,0.9596332311630249,0.544229656457901
vehicle_instability_allraw__zx__2025_09_27_18_00_08__000149680__pre2_label2_old_main,0.7605409026145935,1.0152596235275269,0.2883788049221039,-0.4721620976924896
vehicle_instability_allraw__zx__2025_09_27_18_00_08__000173505__pre2_label2_old_main,0.7163406610488892,1.1810654401779175,0.2699143588542938,-0.44642630219459534
vehicle_instability_allraw__zx__2025_09_27_18_00_08__000195680__pre2_label2_old_main,0.6059695482254028,1.3625800609588623,0.9386233687400818,0.33265382051467896
vehicle_instability_allraw__zx__2025_09_27_18_00_08__000256360__pre2_label2_old_main,0.5089771151542664,0.6773619651794434,0.4329468905925751,-0.07603022456169128
vehicle_instability_allraw__zx__2025_09_27_18_00_08__000313580__pre2_label2_old_main,0.6305955648422241,0.9805290102958679,0.502373218536377,-0.12822234630584717
vehicle_instability_allraw__zx__2025_09_27_18_00_08__000320360__pre2_label2_old_main,0.25200769305229187,0.635125994682312,0.36666086316108704,0.11465317010879517
vehicle_instability_allraw__zx__2025_09_27_18_00_08__000353905__pre2_label2_old_main,0.4033006429672241,0.7283228635787964,0.43102356791496277,0.027722924947738647
vehicle_instability_allraw__zxy__2025_09_28_15_57_38__000092690__pre2_label2_old_main,0.30822619795799255,0.9798280000686646,0.2940545082092285,-0.014171689748764038
vehicle_instability_allraw__zxy__2025_09_28_15_57_38__000128180__pre2_label2_old_main,0.24514514207839966,0.9311332106590271,0.35885676741600037,0.11371162533760071
vehicle_instability_allraw__zxy__2025_09_28_15_57_38__000182350__pre2_label2_old_main,0.3050527274608612,0.5749120116233826,0.5789129734039307,0.27386024594306946
vehicle_instability_allraw__zxy__2025_09_28_16_35_30__000096695__pre2_label2_old_main,0.18918243050575256,0.6220359206199646,0.5720877647399902,0.38290533423423767
vehicle_instability_allraw__zxy__2025_09_28_16_35_30__000141250__pre2_label2_old_main,0.15848423540592194,0.7140136957168579,0.196291983127594,0.03780774772167206
vehicle_instability_allraw__zxy__2025_09_28_16_35_30__000185120__pre2_label2_old_main,3.064340353012085,2.7082290649414062,2.01662278175354,-1.047717571258545
vehicle_instability_allraw__zxy__2025_09_28_16_35_30__000460020__pre2_label2_old_main,1.745926022529602,0.4502899646759033,0.20912498235702515,-1.536801040172577
vehicle_instability_allraw__zxy__2025_09_28_16_35_30__000467085__pre2_label2_old_main,0.5391753315925598,0.08116006851196289,0.05682141333818436,-0.48235391825437546
vehicle_instability_allraw__zxy__2025_09_28_16_35_30__000471085__pre2_label2_old_main,1.5065414905548096,2.6043848991394043,1.4428989887237549,-0.06364250183105469
vehicle_instability_allraw__zxy__2025_09_28_16_35_30__000691590__pre2_label2_old_main,0.4968922436237335,0.772657036781311,0.5259819626808167,0.02908971905708313
vehicle_instability_allraw__zxy__2025_09_28_16_35_30__000785960__pre2_label2_old_main,0.2932431697845459,0.7518875002861023,0.6542249321937561,0.3609817624092102
